Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2016","2016","tonnes","83325","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2017","2017","tonnes","85635","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2018","2018","tonnes","95232.65","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2019","2019","tonnes","108064.76","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2020","2020","tonnes","125054.42","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01233","Eggplants (aubergines)","2021","2021","tonnes","128413.15","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01330","Grapes","2001","2001","tonnes","43238","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01330","Grapes","2002","2002","tonnes","26275","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01330","Grapes","2003","2003","tonnes","28029","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01330","Grapes","2004","2004","tonnes","53196","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01330","Grapes","2005","2005","tonnes","52300","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01330","Grapes","2006","2006","tonnes","48710","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01330","Grapes","2007","2007","tonnes","43090","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01330","Grapes","2008","2008","tonnes","33460","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01330","Grapes","2009","2009","tonnes","55720","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01330","Grapes","2010","2010","tonnes","56350","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01330","Grapes","2011","2011","tonnes","57100","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01330","Grapes","2012","2012","tonnes","71700","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01330","Grapes","2013","2013","tonnes","68050","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01330","Grapes","2014","2014","tonnes","70327","A","Official figure"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","01330","Grapes","2015","2015","tonnes","63401","A","Official figure"
